,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
5303,False,/gLr8DBGveOCJAS469GnWTRSXsP9.jpg,"['Comedy', 'Crime', 'Drama']",92591,en,Bernie,"In small-town Texas, affable and popular mortician Bernie Tiede strikes up a friendship with Marjorie Nugent, a wealthy widow well known for her sour attitude. When she becomes controlling and abusive, Bernie goes to great lengths to remove himself from her grasp.",10.753,/rW5CetooG545jpkPNpD4FjFAXfe.jpg,2012-04-27,Bernie,False,6.584,929
5304,False,/fiRs0tMsgYoOg8EVOvzjTFghfTN.jpg,"['Crime', 'Drama', 'Mystery']",20714,ru,12,"A loose remake of “12 Angry Men”, “12” is set in contemporary Moscow where 12 very different men must unanimously decide the fate of a young Chechen accused of murdering his step-father, a Russian army officer. Consigned to a makeshift jury room in a school gymnasium, one by one each man takes center stage to confront, connect, and confess while the accused awaits a verdict and revisits his heartbreaking journey through war in flashbacks.",8.825,/7bl0aH8u7oBcd4QK9Fml01IN8KU.jpg,2007-06-06,12,False,6.584,385
5305,False,/4aAmGZrR15CnVU0VjVuzMHNQ2eZ.jpg,"['Comedy', 'Crime', 'Drama']",9950,en,Find Me Guilty,"Based on the true story of Jack DiNorscio, a mobster who defended himself in court for what would be the longest mafia trial in U.S. history.",12.933,/bEYXGnqLd9lw5HRdEIrMgNjYnkI.jpg,2006-03-16,Find Me Guilty,False,6.6,492
5306,False,/eoOi6vkfJmDEnfgiG7jVnZh6ZIe.jpg,"['Horror', 'Thriller']",5486,it,Ecologia del delitto,"An elderly heiress is killed by her husband who wants control of her fortunes. What ensues is an all-out murder spree as relatives and friends attempt to reduce the inheritance playing field, complicated by some teenagers who decide to camp out in a dilapidated building on the estate.",13.705,/cTqmAcZwaEY609QDCLpgBlwijn9.jpg,1971-09-08,A Bay of Blood,False,6.584,376
5307,False,/5lUpy6OrDhzdeAGBaM1mIsQvfOl.jpg,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",157,en,Star Trek III: The Search for Spock,A surprise visit from Spock's father provides a startling revelation: McCoy is harboring Spock's living essence.,15.603,/yqEj0oPfKBMCz7YcCARHDgH7VFm.jpg,1984-06-01,Star Trek III: The Search for Spock,False,6.6,1373
5308,False,/v69OaHOYjdihRz0o0nVUylUyraa.jpg,"['Family', 'Animation']",19405,en,Recess: School's Out,"The school year is finally ending, and T.J. Detweiler is looking forward to summer. But boredom quickly sets in when his friends leave for camp — until T.J. uncovers an evil plot to do away with summer vacation! A crazy former principal, Dr. Benedict, is planning to use a laser beam to alter the weather and create permanent winter. Faced with the dire threat of year-round school, T.J. rounds up the RECESS gang and bands together with some unexpected allies — Miss Finster and Principal Prickly — in a nonstop adventure to save everyone's summer break. As the kids discover the heroes inside themselves, a platoon of wacky characters, far-out music, and sci-fi surprises turn this madcap mission into a major victory for fun!",19.257,/yLdsXdgB2VJ2uBQvYaEB5xPELlq.jpg,2001-02-16,Recess: School's Out,False,6.6,345
5309,False,/yJXAo8N60RaVC6pEuXUQ6wFBCCA.jpg,"['Action', 'Science Fiction']",10803,en,Logan's Run,"In the 23rd century, inhabitants of a domed city freely experience all of life's pleasures — but no one is allowed to live past 30. Citizens can try for a chance at being ""renewed"" in a civic ceremony on their 30th birthday. Escape is the only other option.",18.199,/v3ILN8ROPcrNRJ8S7GH24JyihH8.jpg,1976-06-23,Logan's Run,False,6.583,946
5310,False,/iR79ciqhtaZ9BE7YFA1HpCHQgX4.jpg,"['Horror', 'Mystery']",1100782,en,Smile 2,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",402.616,/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg,2024-10-16,Smile 2,False,6.6,1205
5311,False,/t7IeeXInCfUj8jz7coobeWjUX1e.jpg,"['Drama', 'Thriller']",15393,en,Play Misty for Me,"A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",13.619,/9f3JSecw8ru24ftCL6UAzpxHk0X.jpg,1971-10-01,Play Misty for Me,False,6.6,502
5312,False,/vq4vYFV0TWCCovAFLcdZLCo4Qud.jpg,"['Comedy', 'Crime', 'Romance']",2779,en,The Curse of the Jade Scorpion,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them.",10.147,/mfvWefUp09oaLLxb8KhsvUYi7mX.jpg,2001-08-05,The Curse of the Jade Scorpion,False,6.582,772
